level,parent_2d_code,parent_2d_label,code,label,jobs_2023,salary_mean_annual_gross_2018,contracts_2025,demandants_2025,unemployed_2025,ai_exposure,ai_confidence,source_url
2d,,,00,Ocupaciones militares,,,,,,3.55,8.16,
2d,,,11,Miembros del poder ejecutivo y de los cuerpos legislativos; directivos de la Administración Pública y organizaciones de interés social; directores ejecutivos,44856,74549.6,,,,4.76,8.76,
2d,,,12,Directores de departamentos administrativos y comerciales,260019,54362.5,,,,6.22,8.15,
2d,,,13,Directores de producción y operaciones,185998,55551.93,,,,5.71,8,
2d,,,14,"Directores y gerentes de empresas de alojamiento, restauración y comercio",138148,41926.71,,,,4.12,8,
2d,,,15,Directores y gerentes de otras empresas de servicios no clasificados bajo otros epígrafes,105734,35069.77,,,,4.93,8,
2d,,,21,Profesionales de la salud,788808,39713.11,,,,2.88,8.75,
2d,,,22,"Profesionales de la enseñanza infantil, primaria, secundaria y postsecundaria",983857,27498.06,,,,3.84,8.82,
2d,,,23,Otros profesionales de la enseñanza,260120,15286.41,,,,5.42,8.15,
2d,,,24,"Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",463755,38628.53,,,,6.39,8.07,
2d,,,25,Profesionales en derecho,188636,40679.95,,,,7.26,9,
2d,,,26,Especialistas en organización de la Administración Pública y de las empresas y en la comercialización,460257,40569.83,,,,7.43,8.65,
2d,,,27,Profesionales de las tecnologías de la información,218852,39318.16,,,,8.53,9,
2d,,,28,Profesionales en ciencias sociales,213696,26024.71,,,,3.59,8.2,
2d,,,29,Profesionales de la cultura y el espectáculo,179980,32542.19,,,,4.63,8.3,
2d,,,31,Técnicos de las ciencias y de las ingenierías,323422,31872.85,,,,4.83,8.15,
2d,,,32,"Supervisores en ingeniería de minas, de industrias manufactureras y de la construcción",84435,38150.32,,,,3.29,8.6,
2d,,,33,Técnicos sanitarios y profesionales de las terapias alternativas,146688,22335.25,,,,3.49,8.29,
2d,,,34,Profesionales de apoyo en finanzas y matemáticas,21132,43010.73,,,,8.4,8.91,
