Tipo de jornada	Ocupación	Decil	Periodo	Total
Total	Total	Total	2024	2.385,6
Total	Total	Total	2023	2.273
Total	Total	Total	2022	2.118,8
Total	Total	Total	2021	2.076,5
Total	Total	Total	2020	2.038,6
Total	Total	Total	2019	1.982,3
Total	Total	Total	2018	1.944,4
Total	Total	Total	2017	1.889
Total	Total	Total	2016	1.878,1
Total	Total	Total	2015	1.893,7
Total	Total	Total	2014	1.881,3
Total	Total	Total	2013	1.869,1
Total	Total	Total	2012	1.850,3
Total	Total	Total	2011	1.841,8
Total	Total	1	2024	710,2
Total	Total	1	2023	645
Total	Total	1	2022	619,7
Total	Total	1	2021	566,3
Total	Total	1	2020	521,3
Total	Total	1	2019	532,3
Total	Total	1	2018	479,9
Total	Total	1	2017	464,3
Total	Total	1	2016	462,7
Total	Total	1	2015	420,1
Total	Total	1	2014	411,2
Total	Total	1	2013	414,5
Total	Total	1	2012	425,6
Total	Total	1	2011	464,5
Total	Total	2	2024	1.280,9
Total	Total	2	2023	1.209,6
Total	Total	2	2022	1.132,2
Total	Total	2	2021	1.033,9
Total	Total	2	2020	1.006,6
Total	Total	2	2019	994,5
Total	Total	2	2018	904,9
Total	Total	2	2017	863,9
Total	Total	2	2016	856,9
Total	Total	2	2015	829
Total	Total	2	2014	819,6
Total	Total	2	2013	812,2
Total	Total	2	2012	840,2
Total	Total	2	2011	863,8
Total	Total	3	2024	1.488,5
Total	Total	3	2023	1.434,1
Total	Total	3	2022	1.338,8
Total	Total	3	2021	1.256,8
Total	Total	3	2020	1.237
Total	Total	3	2019	1.222,5
Total	Total	3	2018	1.156,5
Total	Total	3	2017	1.121,9
Total	Total	3	2016	1.118,3
Total	Total	3	2015	1.102,1
Total	Total	3	2014	1.100,9
Total	Total	3	2013	1.103,3
Total	Total	3	2012	1.121,7
Total	Total	3	2011	1.128,9
Total	Total	4	2024	1.681,5
Total	Total	4	2023	1.631,6
Total	Total	4	2022	1.523,1
Total	Total	4	2021	1.455
Total	Total	4	2020	1.423,4
Total	Total	4	2019	1.418,1
Total	Total	4	2018	1.357,4
Total	Total	4	2017	1.323
Total	Total	4	2016	1.325,4
Total	Total	4	2015	1.311
Total	Total	4	2014	1.315,5
Total	Total	4	2013	1.318,7
Total	Total	4	2012	1.322,1
Total	Total	4	2011	1.310
Total	Total	5	2024	1.888,7
Total	Total	5	2023	1.834
Total	Total	5	2022	1.708,7
Total	Total	5	2021	1.652,7
Total	Total	5	2020	1.606,9
Total	Total	5	2019	1.595,3
Total	Total	5	2018	1.546,7
Total	Total	5	2017	1.497,7
Total	Total	5	2016	1.498,2
Total	Total	5	2015	1.497,7
Total	Total	5	2014	1.503
Total	Total	5	2013	1.503
Total	Total	5	2012	1.492,7
Total	Total	5	2011	1.484,8
Total	Total	6	2024	2.130
Total	Total	6	2023	2.059,5
Total	Total	6	2022	1.913,1
Total	Total	6	2021	1.865,7
Total	Total	6	2020	1.816,8
Total	Total	6	2019	1.793,6
Total	Total	6	2018	1.752,6
Total	Total	6	2017	1.698
Total	Total	6	2016	1.703,9
Total	Total	6	2015	1.703,7
Total	Total	6	2014	1.715,1
Total	Total	6	2013	1.703,7
Total	Total	6	2012	1.685,4
