Sexo	Grupos y subgrupos principales de la CNO-11	Media y percentiles	Periodo	Total
Ambos sexos	Todas las ocupaciones	Media	2018	24.009,12
Ambos sexos	Todas las ocupaciones	Percentil 10	2018	8.457,36
Ambos sexos	Todas las ocupaciones	Percentil 25	2018	13.998,29
Ambos sexos	Todas las ocupaciones	Percentil 50	2018	20.078,44
Ambos sexos	Todas las ocupaciones	Percentil 75	2018	30.057,33
Ambos sexos	Todas las ocupaciones	Percentil 90	2018	43.382,16
Ambos sexos	A Directores y gerentes	Media	2018	54.341,32
Ambos sexos	A Directores y gerentes	Percentil 10	2018	18.826,24
Ambos sexos	A Directores y gerentes	Percentil 25	2018	31.180,69
Ambos sexos	A Directores y gerentes	Percentil 50	2018	48.816,59
Ambos sexos	A Directores y gerentes	Percentil 75	2018	68.542,18
Ambos sexos	A Directores y gerentes	Percentil 90	2018	87.119,57
Ambos sexos	11 Miembros del poder ejecutivo y de los cuerpos legislativos; directivos de la Administración Pública y organizaciones de interés social; directores ejecutivos	Media	2018	-74.549,6
Ambos sexos	11 Miembros del poder ejecutivo y de los cuerpos legislativos; directivos de la Administración Pública y organizaciones de interés social; directores ejecutivos	Percentil 10	2018	-15.168,48
Ambos sexos	11 Miembros del poder ejecutivo y de los cuerpos legislativos; directivos de la Administración Pública y organizaciones de interés social; directores ejecutivos	Percentil 25	2018	-30.000
Ambos sexos	11 Miembros del poder ejecutivo y de los cuerpos legislativos; directivos de la Administración Pública y organizaciones de interés social; directores ejecutivos	Percentil 50	2018	-46.605,88
Ambos sexos	11 Miembros del poder ejecutivo y de los cuerpos legislativos; directivos de la Administración Pública y organizaciones de interés social; directores ejecutivos	Percentil 75	2018	-84.037,76
Ambos sexos	11 Miembros del poder ejecutivo y de los cuerpos legislativos; directivos de la Administración Pública y organizaciones de interés social; directores ejecutivos	Percentil 90	2018	-155.000
Ambos sexos	12 Directores de departamentos administrativos y comerciales	Media	2018	54.362,5
Ambos sexos	12 Directores de departamentos administrativos y comerciales	Percentil 10	2018	24.454,97
Ambos sexos	12 Directores de departamentos administrativos y comerciales	Percentil 25	2018	35.342,06
Ambos sexos	12 Directores de departamentos administrativos y comerciales	Percentil 50	2018	50.601,18
Ambos sexos	12 Directores de departamentos administrativos y comerciales	Percentil 75	2018	68.954,78
Ambos sexos	12 Directores de departamentos administrativos y comerciales	Percentil 90	2018	85.538,23
Ambos sexos	13 Directores de producción y operaciones	Media	2018	55.551,93
Ambos sexos	13 Directores de producción y operaciones	Percentil 10	2018	20.839,16
Ambos sexos	13 Directores de producción y operaciones	Percentil 25	2018	32.059,3
Ambos sexos	13 Directores de producción y operaciones	Percentil 50	2018	51.168,84
Ambos sexos	13 Directores de producción y operaciones	Percentil 75	2018	69.874,13
Ambos sexos	13 Directores de producción y operaciones	Percentil 90	2018	86.099,61
Ambos sexos	14 Directores y gerentes de empresas de alojamiento, restauración y comercio	Media	2018	-41.926,71
Ambos sexos	14 Directores y gerentes de empresas de alojamiento, restauración y comercio	Percentil 10	2018	-14.580,6
Ambos sexos	14 Directores y gerentes de empresas de alojamiento, restauración y comercio	Percentil 25	2018	-17.292,45
Ambos sexos	14 Directores y gerentes de empresas de alojamiento, restauración y comercio	Percentil 50	2018	-28.373,76
Ambos sexos	14 Directores y gerentes de empresas de alojamiento, restauración y comercio	Percentil 75	2018	-60.266,3
Ambos sexos	14 Directores y gerentes de empresas de alojamiento, restauración y comercio	Percentil 90	2018	-81.087,22
Ambos sexos	15 Directores y gerentes de otras empresas de servicios no clasificados bajo otros epígrafes	Media	2018	-35.069,77
Ambos sexos	15 Directores y gerentes de otras empresas de servicios no clasificados bajo otros epígrafes	Percentil 10	2018	-9.501,32
Ambos sexos	15 Directores y gerentes de otras empresas de servicios no clasificados bajo otros epígrafes	Percentil 25	2018	-15.847,6
